BUSINESS_ID,MICROSITE_ACCOUNT_NUMBER,ACCOUNT_REGISTRATION_DATE,ADDRESS_ID,SOURCE_MERCHANT_ID,BUSINESS_TYPE,KYB_APPROVED_FLAG_MICROSITE,KYB_APPROVED_FLAG_SITE,KYB_STATUS,FULL_LEGAL_BUSINESS_NAME,BUSINESS_ACTIVITY_TYPE,BUSINESS_REGISTRATION_DATE,BUSINESS_BANK_NAME,PARTING_WAYS_FLAG,EDD_FLAG,STANDARD_EDD_FLAG_UPDATED_DATE,LOCAL_EDD_FLAG_UPDATED_DATE,PEP_FLAG,STANDARD_PEP_FLAG_UPDATED_DATE,LOCAL_PEP_FLAG_UPDATED_DATE,ENTITY_LIST_RESTRICTION_STATUS,ENTITY_LIST_RESTRICTION_DATE,RISK_LEVEL_INDICATOR,STANDARD_KYB_APPROVED_DATE,LOCAL_KYB_APPROVED_DATE,ROW_CREATED_TIMESTAMP,ROW_UPDATED_TIMESTAMP
66081602213,31014208054,12/30/2016,63323991102,40020209151,LLC,TRUE,TRUE,In-Progress,Skimia,Trust,8/16/1986,KAURI,orange,TRUE,3/6/2020,1/26/2019,In-Active,4/22/2018,5/21/2018,No,11/28/2014,High,7/29/2012,6/26/2003,11/01/2019 13:30:00,09/30/2019 23:59:00
55047702278,51074106990,2/24/2003,51492313004,74038600858,LIMITED_PARTNERSHIP,TRUE,FALSE,In-Progress,Realbridge,Industry,6/14/2020,Globus,green,TRUE,8/6/2020,10/10/2018,Active,1/9/2019,8/15/2020,No,6/7/2013,Medium,10/9/2011,4/6/2010,01/14/2011 14:37:00,08/20/2016 17:10:00
42026906907,69004304523,8/22/2006,81414342009,23084402967,NONPROFIT,FALSE,TRUE,In-Progress,Tanoodle,Customer,5/22/2014,LAKMA,red,FALSE,11/7/2017,6/10/2019,In-Active,1/26/2020,5/31/2017,Yes,6/18/2011,Medium,11/18/2015,12/15/2016,10/05/2013 04:05:00,06/10/2020 15:44:00
86042401810,1091904169,10/6/2015,16235324402,30070303986,LIMITED_PARTNERSHIP,TRUE,FALSE,In-Progress,Dynabox,Trust,1/23/2001,Bank Zenit,orange,TRUE,11/18/2016,6/2/2015,Active,7/15/2020,3/17/2020,No,2/16/2012,Medium,6/12/2016,12/14/2010,01/18/2004 03:03:00,07/08/2017 09:26:00
26042509086,47040103210,1/26/2020,56317339806,23033704530,CORPORATION,FALSE,FALSE,Approved,Aimbu,Trust,4/21/2018,Bank Zenit,red,FALSE,9/24/2017,6/20/2018,In-Active,6/12/2018,5/25/2018,No,3/14/2019,Medium,3/25/2015,3/8/2016,11/29/2017 02:28:00,07/10/2020 18:56:00
5082305782,6046400622,1/23/2008,77122956406,94069004602,GOVERNMENT,TRUE,FALSE,In-Progress,Yombu,Sub-Industry,10/6/2020,VIKING,orange,TRUE,6/23/2019,2/18/2019,Active,6/20/2017,5/6/2017,Yes,12/1/2018,Low,6/20/2013,7/2/2010,01/12/2011 21:49:00,03/11/2018 01:16:00
93093200848,28053601011,4/27/2010,75387904003,89601088,CORPORATION,FALSE,FALSE,Rejected,Skibox,Industry,5/2/1996,NS BANK,orange,FALSE,12/26/2019,11/12/2017,Active,2/21/2020,6/10/2017,No,2/17/2020,Low,11/24/2006,11/30/2013,06/10/2005 09:49:00,08/13/2017 16:00:00
38002500741,90013404757,9/10/2011,25434330007,64069703419,GOVERNMENT,FALSE,TRUE,Submitted,Trupe,Child,7/9/1986,Avangard,red,TRUE,7/24/2019,4/1/2017,Active,5/25/2018,10/9/2017,Yes,2/14/2016,Medium,5/5/2012,9/21/2009,01/04/2003 22:17:00,08/01/2020 09:30:00
98015101607,60016504955,7/23/2011,12396710803,94010305253,CORPORATION,TRUE,TRUE,Approved,Gigaclub,Customer,4/16/1999,KOR,blue,FALSE,7/4/2017,3/13/2017,In-Active,10/30/2018,10/15/2018,No,10/1/2019,High,4/14/2014,1/9/2019,04/26/2005 15:09:00,09/24/2017 20:42:00
52030702377,7091403187,10/30/2009,69411045101,67068701391,GOVERNMENT,TRUE,TRUE,In-Progress,Wikizz,Child,10/29/2001,NS BANK,orange,TRUE,9/20/2019,2/1/2016,Active,2/4/2018,11/11/2018,No,4/11/2013,Ultra High,5/20/2008,6/21/2005,10/02/2000 00:14:00,07/13/2017 13:26:00
