Region_ID,Region_eng,Population,Rus_perc,Urban_pop,Urban_pop_perc,Rural_pop,Rural_pop_perc,Area,Density_pop_sqkm,Latitude,Longitude
0,Russia,146745098,100,109326899,74.5,37553533,25.59,17125191,8.57,64.6863136,97.7453061
77,Moscow,12692466,8.65,12342615,97.24,163853,1.29,2561,4956.06,55.4792046,37.3273304
50,Moscow region,7687647,5.24,6123573,79.65,1379812,17.95,44329,173.42,55.5043158,38.0353929
23,Krasnodar region,5677786,3.87,3075168,54.16,2528252,44.53,75485,75.22,45.7684014,39.0261044
78,St. Petersburg,5392992,3.68,5351935,99.24,0,0,1403,3843.9,59.9606739,30.1586551
66,Sverdlovsk region,4310861,2.94,3666856,85.06,658400,15.27,194307,22.19,58.6414755,61.8021546
61,Rostov region,4195327,2.86,2871412,68.44,1349040,32.16,100967,41.55,47.6222451,40.7957942
2,Republic of Bashkortostan,4037811,2.75,2522024,62.46,1541269,38.17,142947,28.25,54.4747553,55.9784582
16,Republic of Tatarstan,3902642,2.66,2990569,76.63,903715,23.16,67847,57.52,55.448217,50.4763591
74,Chelyabinsk region,3466960,2.36,2888662,83.32,604374,17.43,88529,39.15,54.4223954,61.1865846
52,Nizhny Novgorod Region,3203818,2.18,2572539,80.3,662213,20.67,76624,41.81,55.4718033,44.0911594
63,Samara Region,3179026,2.17,2554179,80.34,639335,20.11,53565,59.35,53.2128813,50.8914633
5,The Republic of Dagestan,3111353,2.12,1383676,44.47,1680209,54,50270,61.89,43.0574916,47.1332224
24,Krasnoyarsk region,2867875,1.95,2226117,77.62,650380,22.68,2366797,1.21,63.3233807,97.0979974
26,Stavropol region,2803021,1.91,1636876,58.4,1163798,41.52,66160,42.37,44.8632577,43.4406913
54,Novosibirsk region,2798251,1.91,2204326,78.78,584523,20.89,177756,15.74,54.9720169,79.4813924
42,Kemerovo region,2657758,1.81,2316706,87.17,378171,14.23,95725,27.76,54.5335781,87.342861
59,Perm,2599301,1.77,1988243,76.49,634879,24.42,160236,16.22,58.5951603,56.3159546
34,Volgograd region,2491751,1.7,1940241,77.87,581035,23.32,112877,22.07,49.6048339,44.2903582
64,Saratov region,2421785,1.65,1864459,76.99,598491,24.71,101240,23.92,51.6520555,46.8631952
38,Irkutsk region,2390827,1.63,1894053,79.22,510142,21.34,774846,3.09,56.6370122,104.719221
36,Voronezh region,2323657,1.58,1576374,67.84,757394,32.59,52216,44.5,50.9800393,40.1506507
